"document","comment_id","comment"
"NDY-003","1","Respekt : o zu mir passt das heut vollkommen :( Aber Respekt an euch ;)"
"NDY-003","2","haha geil :D aber ich hab mich am anfang etwas erschreckt :D"
"NDY-003","3","würd gern mit euch tanzen * - * haha"
"NDY-003","4","Einfach nur wieder geil ... ich mag eure texte voll und eure stimmen .... sind voll die ohrwürmer =D Daumen hoch =)"
"NDY-003","5","das ist so geil :)"
"NDY-003","6","@DieLochis hat er jz nen extra acc . gemacht ? :D"
"NDY-003","7","@DieLochis ich finde roman zwar coool und süß . aber Das Katzenklo2 hat recht , heiko behält wirklich mehr kontakt zu den fans , als roman :)"
"NDY-003","8","Oh wie Gel jungs hamma ."
"NDY-003","9","Heiko bewegt sich irwie auch viel mehr als in den anderen Videos also auch mehr wie Roman"
"NDY-003","10","Gehts noch Geiler ???? ich glaub nicht soooo Geil OMG * ___ * ( Y ) ♥"
"NDY-003","11","@CaroLiebtIhrenBronco heiko ist der mit dem weißen pulover und romen ist der mit der braunen jacke"
"NDY-003","12","Mein lieblingslied :D"
"NDY-003","13","Echt geiles Lied muss ich sagen habt ihr echt gut gemacht und heiko kannst du mir bitte zurück schreiben das wäre echt nett ."
"NDY-003","14","Wäre auch lieb wenn ihr ihr auf meinen Post antworten könntet ihr könnt auch auch mein kanal abonieren wäre echt net wen ihr das machen würdet roman und heiko bitte bitte"
"NDY-003","15","Jungs , ihr werdet immer noch besser ! Bleibt dran !"
"NDY-003","16","okay kanns auswendig"
"NDY-003","17","Zum Glück ist der Replay Button Kostenlos ;) Sonst währe ich schon lange in Großen Schulden ^^ Hammer Jungs | DieLochis Ever"
"NDY-003","18","Das ist das beste lied von euch . Weiter so daumen hoch :) ;)"
"NDY-003","19","wieder einmal richtig geil geworden"
"NDY-003","20","@Lpboy343 warum sind das spasten ? die stecken viel arbeit da rein"
"NDY-003","21","gänsehaut schon 2 mal"
"NDY-003","22","00:25 War Schrecklich"
"NDY-003","23","@Der1999Ottifant 1:12 Auch"
"NDY-003","24","@Der1999Ottifant Aber Trotzdem Cooles Video- , , -"
