"document","comment_id","comment"
"NDY-274","1","erster :D"
"NDY-274","2","ich liebe diese Figur da im hintergrund :)"
"NDY-274","3","eventuell hole ich es mir :)"
"NDY-274","4","Äm , will ja nicht pedantisch sein , aber warum nennst Du die Buchbesprechung Review ? Wie wäre es mit Rezension ? Ok , vielleicht bin ich pedantisch , ich gebe zu , ich störe mich auch immer noch an Ausdrücken wie verblenden statt auslaufen lassen o. ä."
"NDY-274","5","boah du bist mit zurückgesteckten haaren ja noch schöner ! :)"
"NDY-274","6","Love deine Videos"
"NDY-274","7","Tschuuuuuuuuuuuuuuss :D"
"NDY-274","8","also ich habe sie in ihrem café auf mallorca besucht und auch diese ganzen personen wie ihren martin kennen gelernt . ich sollte als statistin mit meiner mama und meiner schwester bei einem dreh mitmachen , weil wir spontan angesprochen wurden . sie ist eiskalt mit ihrem team nicht gekommen , am vereinbarten tag ! für mich ist daniela katzenberger eine frau , die zwar berühmt ist und auch weiß , wie man sich zu vermarkten hat , aber für ihren erfolg musste sie zu wenig kämpfen . MEINE MEINUNG ^^"
"NDY-274","9","Mir ist daniela Katzenberger sowas von wumpe :D Nichtmal auf Toilette würd ich das Buch lesen :D Aber trotzdem hast du die Review gut gemacht und ich würds ganz cool finden wenn du irgendwann mal wieder eine machst :)"
"NDY-274","10","@Schneggieh Happy Birthday ^-^"
"NDY-274","11","mach doch deine eigene autobiographie ! .. mit den Kinderfotos :)"
"NDY-274","12","Mir hat die Review gut gefallen :)"
"NDY-274","13","Ich mag die Katze :) total sympatisch !!"
"NDY-274","14","sehr schöne frisur + outfit , kompliment :)"
"NDY-274","15","Vergisst nicht das wimpern-serum jeden morgen und abends ! :D"
"NDY-274","16","Ich habe das Buch auf meinem iPhone . Während der Buchmesse konnte man es bei T-Mobile an einem Tag kostenlos laden ... Gelesen habe ich es noch nicht , bin noch an anderen Büchern dran ... Scheint ja wirklich sehr interessant zu sein .... * ironie aus * Naja , mal schauen ... Aber deine Review fand ich gut ! Grad weils deine erste Buchvorstellung war ! Liebe Grüße"
"NDY-274","17","tolles review , kannst du ruhig oefters machen ( das buch haette ich persoenlich nicht gekauft und sie interessiert mich auch nicht besonders ."
"NDY-274","18","Also ich mag die Katzenberger :) . Die hat wenigstens Humor und kann über sich selber lachen , was viele nicht können . Auch wenn sie tussig aussieht , sie steht wenigstens mit gesundem Menschenverstand zu sich selbst ."
"NDY-274","19","Super Buchvorstellung besser als manch anderer Youtuber der ein Buchvorstellung macht . Könnte es öfter geben ich finde es immer ganz spannend zu hören was sich leicht lesen lässt . Auch ich bin ein absoluter Biografie buch Fan zb. die Biografie von Cornelia funke oder auch Joanne K. Rowling super zum weiter empfelen :-)"
"NDY-274","20","Hey daaruum :-) Haste richtig cool gemacht die Rewiev !! Was meinste wenn die Katzen erger dein Video sieht :-)"
"NDY-274","21","Alsooo ... Ich fand' die Buchvorstellung wirklich okay :D Es waren sehr gute Infos dabei und und und ;)) Ich persönlich , mag eig. die Daniela Katzenberger sehr gern :D Ich finde sie einfach cool , und lustig und joa :D PS : Sag einfach deine Meinung und fertig is ;)) Jeder hat seine eigene meinung , und die muss mann Akzeptieren ;D <3"
"NDY-274","22","danke dir ! wollt es mir auch kaufen aber ich glaub ich denk noch mal drüber nach ;) !"
"NDY-274","23","heute werde ich einen tussigen tag haben :D !"
"NDY-274","24","I don't ' normally ' understand German . I took one year of German when I was ten , and I forgot most of it. But somehow , I understand you . Honestly , you are the only German person I understand . I don't know how it's possible , must be a miracle :D"
"NDY-274","25","daniela katzenberger ist die beste :)"
"NDY-274","26","kOMMST DU AUS IRAN ALSO bist du iranerin ? :D"
"NDY-274","27","chronisch zu lesen . xD sehr süß"
"NDY-274","28","Ich liebe daniela katzenberger , ich find sie genial sie hats wenigstens geschafft und dazu ist sie auch noch extrem lustig und sympathisch :)"
"NDY-274","29","Hahaha .. die Katzenberger hat das Buch nicht mal selbst geschrieben ... die hatte nen Ghostwriter .."
"NDY-274","30","das buch reizt mich überhaupt nicht . was mich am meisten interessiert , ist im hintergrund links , diese schaufensterpuppe . woher hast du die ? :)"
"NDY-274","31","@Tigerhood11 alle promis mit autobiographie haben ghostwriter ."
"NDY-274","32","... wo sie selbst schreibet ... Das frollein Katzenbergeer hatte so was wie´n Ghostwriter ... alles schön vorgelabbert , selber geschrieben hat sie´s aber nicht"
"NDY-274","33","du siehst mal wieder zauberhaft aus !!!! Die review ist dir gut gelungen !!! * lg *"
"NDY-274","34","Klobuch das ist mal ein Wort . Nehm ich mit Freuden in meinen Sprachwortschatz auf ;-)"
"NDY-274","35","ich finde es war eine tolle review .. und ich bin auch der meinung , dass eig jedes buch es wert ist gelesen zu werden =D auch das katzenbergerbuch .. hihihihi"
"NDY-274","36","Die Buchreview fand ich toll , kannst du gern öfter machen . Daniela Katzenberger finde ich ganz furchtbar ! Ich hasse wie sie redet und ich ich finde sie unglaublich unschön anzusehen ! Und ihre ganze Masche nervt mich auch !"
"NDY-274","37","ich hätte die Postkarte gerne :)"
"NDY-274","38","Von wegen selbst geschrieben ;)"
"NDY-274","39","What the .. In 1 1/2 Stunden durch ?! Also ja , ich bin nicht die schnellste Leserin , aber wie schnell krigst du das denn auf die Reihe ?! Heftig ! :D Wäre jetzt kein Buch was mich unbedingt interessiert , aber kann man ja ma machen . :) Aber gern schau ich es trotzdem . :)"
"NDY-274","40","ich mag die katzenberger gar nicht . total aufgesetzt , mediengeil und nervig ."
"NDY-274","41","Ich denke das Buch ist so erfolgreich ( Platz 1 soweit ich weiß ) . Ich finde sie auch trashig , aber sie ist authentisch und das macht ihren Erfolg aus . Toll finde ich , dass sie so gut wie nie in der einschlägigen Klatschpresse auftaucht . Also Liebesleben etc. Mir gefällt die Rezension . Ich kann Dir sehr Hart aber Hilde empfehlen !"
"NDY-274","42","Ich finde es voll fies , wenn man einen daumen runter deswegen geben würde . Manchmal frage ich mich wirklich , was sich die leute dabei überlegen ... Also ich fand die buchreview klasse und hätte gern mehr davon ! :)"
"NDY-274","43","ich finde es sooo toll , wie du dir immer neue Tehmen für deine videos ausdenkst !!!!!!!!!!!!! Danke :)"
